2026-08-10 12:53:19.711 [0x00000974] INFO  EPC - 	setBatchWithCar 写入 1/1 carNum=1 ready=0 ttl=300s cacheSize=1 
2026-08-10 17:29:28.136 [0x00004ac8] INFO  EPC - 	setSkuBinding 新增 epc=AC78A59C0C4010A22811029240003546 barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-11 10:24:52.174 [0x000089b0] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 10:24:52.175 [0x000089b0] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 10:31:05.565 [0x0000afc8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 10:31:05.565 [0x0000afc8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 10:43:55.080 [0x00003590] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 10:43:55.080 [0x00003590] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:17:58.531 [0x0000aa94] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:17:58.532 [0x0000aa94] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:25:38.159 [0x00009ed4] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:25:38.159 [0x00009ed4] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:32:28.058 [0x0000950c] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:32:28.058 [0x0000950c] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:32:28.079 [0x00004fcc] INFO  EPC - 	setSkuBinding 新增 epc=WV34S1CN2001B60L barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-11 11:32:28.080 [0x00004fcc] INFO  EPC - 	setSkuBinding 新增 epc=WV34S1CN2001B61L barcode=WV34S1CN2001B61L skuBound carNum= ready=0 cacheSize=2
2026-08-11 11:32:28.142 [0x00001f74] INFO  EPC - 	setBatchWithCar 写入 2/2 carNum=2 ready=2 ttl=300s cacheSize=2 
2026-08-11 11:35:49.414 [0x0000d11c] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:35:49.414 [0x0000d11c] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:35:49.437 [0x00009d44] INFO  EPC - 	setSkuBinding 新增 epc=WV34S1CN2001B60L barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-11 11:35:49.438 [0x00009d44] INFO  EPC - 	setSkuBinding 新增 epc=WV34S1CN2001B61L barcode=WV34S1CN2001B61L skuBound carNum= ready=0 cacheSize=2
2026-08-11 11:35:49.456 [0x00005b08] INFO  EPC - 	setBatchWithCar 写入 2/2 carNum=2 ready=2 ttl=300s cacheSize=2 
2026-08-11 11:41:34.179 [0x000078f8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"AC78A59C0C4010A22811029240003546","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080","volu":"1234"}],"orderCode":"PB202203200003","orderQty":1}(220字节)
2026-08-11 11:41:34.211 [0x000057ec] INFO  EPC - 	setBatchWithCar 写入 1/1 carNum=1 ready=0 ttl=300s cacheSize=1 
2026-08-11 11:41:34.229 [0x000045e4] INFO  EPC - 	setSkuBinding 覆盖 epc=AC78A59C0C4010A22811029240003546 barcode=AC78A59C0C4010A22811029240003546 skuBound carNum=5 ready=1 cacheSize=1
2026-08-11 11:42:04.205 [0x000078f8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:42:04.205 [0x000078f8] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 11:42:04.222 [0x00007bc0] INFO  EPC - 	setBatchWithCar 写入 2/2 carNum=2 ready=0 ttl=300s cacheSize=3 
2026-08-11 11:42:04.224 [0x000045e4] INFO  EPC - 	setSkuBinding 覆盖 epc=WV34S1CN2001B60L barcode=WV34S1CN2001B60L skuBound carNum=6 ready=1 cacheSize=3
2026-08-11 11:42:04.224 [0x000045e4] INFO  EPC - 	setSkuBinding 覆盖 epc=WV34S1CN2001B61L barcode=WV34S1CN2001B61L skuBound carNum=7 ready=1 cacheSize=3
2026-08-11 12:00:20.139 [0x00005698] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 12:00:20.140 [0x00005698] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 12:00:20.169 [0x0000b2bc] INFO  EPC - 	setSkuBinding 新增 epc=WV34S1CN2001B60L barcode=WV34S1CN2001B60L skuBound carNum= ready=0 cacheSize=1
2026-08-11 12:00:20.170 [0x00008860] INFO  EPC - 	setBatchWithCar 写入 2/2 carNum=2 ready=1 ttl=300s cacheSize=2 
2026-08-11 12:00:20.170 [0x0000b2bc] INFO  EPC - 	setSkuBinding 覆盖 epc=WV34S1CN2001B61L barcode=WV34S1CN2001B61L skuBound carNum=1 ready=1 cacheSize=2
2026-08-11 12:06:33.389 [0x00006308] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B60L","gridNum":"1","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B60L","obxCode":"BOX202203200080"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
2026-08-11 12:06:33.389 [0x00006308] INFO  WAVE_ITEM - 	[原始报文] http://hzmx.nat100.top/api/DispatchSortingCommand/InsertWaveInfo body={"items":[{"epcn":"WV34S1CN2001B61L","gridNum":"2","gridNumber":1,"gridType":"普通格口","inco":"WV34S1CN2001B61L","obxCode":"BOX202203200081"}],"orderCode":"PB202203200003","orderQty":2}(190字节)
