2026-08-06 14:58:32.018 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:58:32.319 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 14:58:32.622 [0x00005f9c] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 14:58:32.622 [0x00005f9c] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 14:59:15.756 [0x00004fcc] INFO  WCS - 	[WaveMgr] H5取消 尝试获取互斥锁 order=SIM-WV-001
2026-08-06 14:59:15.756 [0x00004fcc] INFO  WCS - 	[WaveMgr] H5取消 已获取互斥锁 order=SIM-WV-001
2026-08-06 14:59:15.756 [0x00004fcc] INFO  WCS - 	[WaveMgr] H5取消 分拣判定 started=1 status=3 sorted=66 exception=0 order=SIM-WV-001
2026-08-06 14:59:15.756 [0x00004fcc] WARN  WCS - <591>	<WaveManager::tryCancelWave>,[WaveMgr] H5取消失败 已分拣 order=SIM-WV-001 sorted=66 exception=0 status=3
2026-08-06 15:01:19.498 [0x00009e78] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=0ms
2026-08-06 15:01:19.501 [0x0000cd54] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 15:01:19.501 [0x0000cd54] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 15:01:19.501 [0x0000cd54] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 15:01:19.502 [0x0000cd54] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 15:01:21.526 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 15:01:21.826 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 15:01:22.128 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 15:01:22.427 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 15:01:22.729 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 15:01:23.031 [0x0000cd54] WARN  WCS - <391>	<WaveManager::triggerFullbox>,[WaveMgr] 满箱触发失败 当前状态非SORTING status=2(已绑定)
2026-08-06 15:01:23.372 [0x0000a098] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 15:01:23.372 [0x0000a098] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 15:01:30.260 [0x0000b1dc] INFO  WCS - 	[WaveMgr] H5取消 尝试获取互斥锁 order=SIM-WV-001
2026-08-06 15:01:30.260 [0x0000b1dc] INFO  WCS - 	[WaveMgr] H5取消 已获取互斥锁 order=SIM-WV-001
2026-08-06 15:01:30.260 [0x0000b1dc] INFO  WCS - 	[WaveMgr] H5取消 分拣判定 started=1 status=3 sorted=20 exception=0 order=SIM-WV-001
2026-08-06 15:01:30.260 [0x0000b1dc] WARN  WCS - <591>	<WaveManager::tryCancelWave>,[WaveMgr] H5取消失败 已分拣 order=SIM-WV-001 sorted=20 exception=0 status=3
2026-08-06 15:14:17.680 [0x000079d0] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=1ms
2026-08-06 15:14:17.702 [0x00001c40] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 15:14:17.702 [0x00001c40] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 15:14:17.702 [0x00001c40] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 15:14:17.702 [0x00001c40] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 15:14:19.761 [0x0000d5e4] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 15:14:19.761 [0x0000d5e4] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 15:21:21.967 [0x00006020] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=1ms
2026-08-06 15:21:21.970 [0x00001c40] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 15:21:21.970 [0x00001c40] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 15:21:21.970 [0x00001c40] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 15:21:21.970 [0x00001c40] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 15:21:24.057 [0x0000b8ac] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 15:21:24.057 [0x0000b8ac] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 15:30:32.295 [0x00009148] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=1ms
2026-08-06 15:30:32.383 [0x0000a038] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 15:30:32.383 [0x0000a038] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 15:30:32.383 [0x0000a038] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 15:30:32.383 [0x0000a038] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 15:30:34.436 [0x0000c270] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 15:30:34.436 [0x0000c270] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 16:16:13.441 [0x0000ba10] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=1ms
2026-08-06 16:16:13.495 [0x00002700] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 16:16:13.495 [0x00002700] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 16:16:13.495 [0x00002700] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 16:16:13.495 [0x00002700] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 16:16:13.495 [0x00002700] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 16:16:13.495 [0x00002700] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 16:37:02.950 [0x0000e650] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=1ms
2026-08-06 16:37:03.002 [0x00002700] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 16:37:03.002 [0x00002700] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 16:37:03.002 [0x00002700] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 16:37:03.002 [0x00002700] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 16:37:03.002 [0x00002700] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 16:37:03.002 [0x00002700] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
2026-08-06 16:44:53.160 [0x00006324] INFO  WCS - 	[Parse] orderCode=SIM-WV-001 items=200 SKU=200 qty=200 elapsed=1ms
2026-08-06 16:44:53.263 [0x0000caec] INFO  WCS - 	[WaveMgr] 波次注册 orderCode=SIM-WV-001 qty=200 SKU=200
2026-08-06 16:44:53.263 [0x0000caec] INFO  WCS - 	[WaveMgr] 状态转换 0(空闲) -> 1(已下发)
2026-08-06 16:44:53.263 [0x0000caec] INFO  WCS - 	[WaveMgr] 接收inco集合 size=200
2026-08-06 16:44:53.263 [0x0000caec] INFO  WCS - 	[WaveMgr] 状态转换 1(已下发) -> 2(已绑定)
2026-08-06 16:44:53.263 [0x0000caec] INFO  WCS - 	[WaveMgr] 状态转换 2(已绑定) -> 3(分拣中)
2026-08-06 16:44:53.263 [0x0000caec] INFO  WCS - 	[WaveMgr] 开工成功 BOUND→SORTING orderCode=SIM-WV-001
